Blog	four	looking	second	kids	k	music	until	example	want	feature	place	series	wasn	service	needed	project	tech	came	saying	result	best	men	country	asked	much	life	things	had	easy	possible	right	old	dollars	o	support	happy	choice	team	along	love	fake	working	following	such	years	didn	internet	million	quite	open	city	future	san	say	take	ways	link	going	hour	jobs	many	wants	technology	being	rest	around	dark	world	power	favorite	her	site	am	congress	tv	th	small	past	hours	experience	via	company	learn	states	its	always	found	really	research	major	self	also	play	plan	cover	set	see	movie	available	let	whole	community	person	amp	couple	d	continue	tools	next	line	us	customers	ago	having	results	try	video	great	makes	high	move	doing	could	start	system	face	fact	should	means	stuff	email	android	less	web	government	five	become	does	three	places	problem	worked	told	thursday	work	law	office	then	them	network	another	john	away	com	information	hand	photo	thanks	night	security	post	months	way	war	true	update	together	cost	change	usually	market	live	car	write	product	use	still	half	january	space	shows	cars	care	national	online	price	america	only	between	article	comes	these	media	thinking	real	read	early	using	business	aren	lot	trying	building	month	very	learned	family	put	takes	history	help	soon	actually	event	since	ask	off	clear	latest	justice	hope	pretty	during	won	probably	both	else	look	while	smart	ready	used	march	game	run	within	similar	doesn	e	go	facebook	michael	started	meet	control	links	including	him	front	special	keep	need	able	talk	based	she	written	key	well	page	twitter	home	washington	he	piece	star	friends	lives	whose	companies	likely	even	tips	ever	never	call	tell	give	answer	president	before	better	weeks	went	side	content	isn	user	features	matter	seen	seem	don	m	explain	stop	bad	decided	said	against	appeared	website	study	make	left	human	yes	yet	deal	dead	popular	super	down	digital	weekend	happening	daily	did	making	may	man	maybe	nbsp	group	interesting	policy	morning	living	where	thing	think	fast	little	anyone	were	especially	shot	show	data	black	nearly	enough	reading	across	according	among	those	different	pay	same	money	audience	youtube	again	important	u	children	public	published	two	coming	response	playing	through	late	someone	house	hard	idea	done	least	believe	b	built	build	businesses	find	please	mean	point	simple	shutdown	create	understand	fun	itself	yesterday	cut	big	bit	google	often	forward	giving	others	account	act	ll	day	red	text	taking	almost	helped	center	thought	brand	minutes	under	every	school	street	york	would	phone	must	me	times	end	writing	each	got	free	wanted	days	already	top	too	took	though	chris	watch	amazon	report	full	however	news	games	search	several	social	donald	everything	head	check	cool	posts	says	goes	today	local	trump	term	name	turn	given	white	r	pro	any	ideas	sure	multiple	state	come	case	good	trip	week	without	blog	everyone	far	list	ten	design	version	members	known	rather	short	might	number	health	friday	feel	story	store	kind	nothing	part	his	wrote	art	recently	attention	c	questions	question	long	called	users	once	app	few	women	something	united	instead	looks	cohen	which	who	why	fear	thousands	words	view	job	perhaps	other	know	because	lead	getting	own	made	whether	percent	book
mezzoblue	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	1	1	0	3	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Eschaton	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	2	1	3	1	0	0	1	4	1	0	0	3	1	0	0	0	0	1	0	1	2	3	2	2	1	1	4	0	0	1	0	1	0	4	2	0	0	0	0	1	0	0	0	2	0	0	2	0	0	3	0	0	0	0	1	0	0	2	0	0	0	1	0	2	0	0	0	5	0	1	0	1	2	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	3	0	0	3	0	3	1	2	0	0	2	0	4	2	0	0	0	0	0	0	0	0	1	2	0	1	0	1	1	0	3	3	1	2	0	1	0	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	2	0	2	0	0	2	1	0	0	0	2	2	1	0	0	3	1	0	1	1	0	0	1	2	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	1	0	1	1	1	2	0	0	0	1	2	0	0	2	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	5	1	0	0	0	0	0	2	0	0	1	0	0	5	2	0	1	4	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	2	4	0	2	3	2	0	0	0	4	0	0	2	0	1	0	2	0	0	2	0	1	3	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	3	1	5	0	1	0	0	3	0	0	0	2	0	0	0	2	1	0	5	1	2	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	1	1	3	1	6	0	0	0	0	0	0	0	4	0	1	2	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	3	0	0	0	1	2	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	2	0	0	0	3	5	2	1	0	0	0	0	1	0	4	4	2	0	0	0	1	0	0	0
ShoeMoney	1	4	1	1	0	0	2	0	3	0	2	1	1	6	0	2	3	1	0	0	5	0	1	0	7	4	4	3	1	0	6	1	5	0	0	3	0	0	0	1	2	1	0	1	7	4	2	5	0	0	0	0	0	0	5	5	1	10	0	0	6	0	0	6	1	0	0	4	0	0	0	2	0	0	3	0	3	0	0	0	0	1	7	0	3	4	0	1	1	0	4	1	2	2	0	0	4	0	0	1	0	0	2	0	0	1	0	0	2	0	1	3	0	0	3	2	15	5	0	0	2	3	5	2	0	0	2	2	1	0	0	0	1	2	0	2	0	3	2	1	3	2	0	0	2	0	2	4	6	0	0	0	0	0	0	0	0	0	1	0	3	0	4	0	3	0	0	1	2	1	1	0	0	0	4	4	3	1	0	1	0	0	0	0	5	1	0	4	1	0	1	3	1	1	0	1	0	3	18	4	1	1	1	1	0	2	0	0	2	0	4	0	0	0	0	0	2	0	1	0	0	2	0	3	3	2	1	1	3	0	1	1	0	3	2	2	0	4	5	1	0	0	4	0	2	2	1	0	0	0	4	7	1	1	0	0	2	0	3	2	0	0	0	1	0	0	1	0	0	0	2	4	1	5	0	1	3	2	1	0	5	2	0	0	0	4	3	3	1	1	1	2	6	6	0	1	0	0	2	0	0	1	0	2	0	0	2	3	0	0	1	0	4	1	0	0	1	1	2	0	0	1	0	0	0	0	0	0	1	4	3	0	0	2	2	0	0	0	0	0	1	0	4	2	1	0	3	4	1	1	7	4	1	0	0	0	0	0	0	1	0	0	2	1	0	2	0	3	4	0	2	2	1	0	1	5	6	1	2	0	0	0	1	2	1	0	0	3	0	2	1	2	1	0	0	0	0	3	1	1	3	5	1	0	0	1	10	0	1	4	1	0	0	1	0	0	2	3	0	0	0	1	1	0	0	1	3	0	0	0	0	1	0	0	2	3	0	1	5	1	1	0	3	0	1	0	0	0	0	6	1	0	0	3	0	1	0	0	0	3	8	1	1	0	4	0	2	0	1	1	7	2	0	1	2	0	0	0	0	1	0	2	2	0	0	3	5	6	0	4	0	0	0	0	2	0	0	0	0	0	1	1	3	0	1	0	4	0	1	0	0	0	1	8	4	1	1	1	1	1	0	8	2	0	2	5	3	1	1	0
NB Blog Feed	1	2	11	0	0	0	2	0	2	0	0	0	0	2	1	1	3	3	0	0	1	0	2	2	1	9	1	4	0	2	2	0	0	2	4	0	2	3	0	4	3	6	1	1	5	1	0	1	4	0	2	0	0	1	4	0	0	1	1	0	2	2	0	6	1	1	0	1	7	0	11	0	2	5	2	5	0	2	0	0	3	0	0	1	5	1	1	2	2	4	0	1	7	1	1	0	1	0	0	0	1	0	0	1	0	4	1	0	0	2	0	0	2	0	0	2	2	0	0	0	7	0	1	0	0	0	2	1	1	0	0	0	1	0	6	1	0	3	5	0	2	0	0	12	2	0	2	3	7	6	4	5	2	0	0	0	1	0	5	0	11	0	2	1	2	0	1	0	3	0	0	1	0	0	0	0	2	3	4	0	1	0	0	3	1	0	3	5	2	0	1	2	21	0	0	1	0	0	3	0	2	3	1	3	3	0	3	2	1	1	2	1	1	0	2	1	3	0	1	0	1	0	4	0	0	1	0	2	4	1	1	0	13	0	2	0	1	1	0	1	5	2	1	0	0	0	1	2	0	1	0	2	0	1	0	5	0	0	4	1	1	0	8	8	0	1	1	0	0	2	0	5	0	1	0	0	0	1	1	27	5	0	1	0	2	0	0	0	0	0	2	1	7	0	2	2	1	1	1	4	0	0	0	2	2	0	0	3	5	0	1	0	0	0	1	2	4	1	1	2	2	0	31	1	0	0	7	1	2	2	0	4	0	1	4	1	3	8	0	2	1	0	0	0	1	3	2	0	0	3	1	0	2	2	0	7	0	2	2	7	0	1	1	1	1	1	9	0	0	0	1	0	2	0	0	0	2	0	1	0	1	6	0	3	1	1	2	1	3	0	0	0	0	0	1	1	0	0	6	0	0	1	2	0	4	0	0	3	1	0	14	0	4	4	0	1	0	3	1	0	1	1	3	0	0	1	0	2	8	3	3	0	0	5	0	2	25	0	0	1	0	6	0	0	2	0	0	2	2	6	0	50	0	1	1	1	5	0	9	1	0	1	0	7	2	2	3	7	1	1	1	0	0	2	1	0	0	3	1	0	0	0	1	0	5	1	7	0	1	0	3	17	0	4	1	1	2	0	0	4	1	0	2	0	3	5	2	2	2	0	2	8	8	0	0	1	0	1	2	1	3	1	3	2	0	0	0	1	3	0
Matt Cutts: Gadgets, Google, and SEO	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	7	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	7	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	1	3	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	3	0	1	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
MichelleMalkin.com	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	5	0	1	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	2	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	4	0	2	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	3	0	1	0	0	0	1	6	2	0	0	0	1	0	0	3	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Gothamist	1	0	2	0	4	2	2	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	2	0	0	0	1	4	0	0	1	0	5	0	1	3	1	2	20	1	0	3	3	1	0	2	1	0	0	0	0	1	0	2	0	2	2	0	4	0	0	0	3	5	0	0	2	0	0	2	0	2	3	0	0	3	0	3	2	3	0	5	0	1	1	2	0	3	0	1	2	0	1	2	0	0	3	1	1	1	0	1	0	0	2	0	0	1	1	0	5	0	2	2	1	2	1	2	0	0	0	0	0	1	1	1	3	0	0	0	0	3	5	5	1	4	4	0	5	3	0	0	2	1	0	1	5	0	0	1	0	2	0	1	0	0	3	0	0	0	1	0	0	0	1	0	2	3	3	0	2	0	1	0	2	1	1	0	0	0	1	0	1	0	3	1	0	0	0	1	2	0	1	0	0	1	0	0	1	0	0	0	2	0	3	0	0	1	0	0	3	0	2	2	0	0	2	0	1	2	0	0	2	2	0	1	3	4	2	3	0	0	1	5	2	1	2	2	3	1	0	2	3	6	0	0	1	0	1	0	0	8	1	0	1	1	1	0	0	2	0	0	0	1	1	1	0	0	1	0	1	1	4	0	2	0	0	1	5	1	3	1	0	0	0	0	3	3	0	0	0	0	1	0	0	2	1	0	0	2	1	1	8	2	0	3	0	3	5	3	9	1	0	0	4	1	2	0	1	0	3	0	5	1	0	5	0	2	1	1	0	2	0	0	0	1	2	0	1	0	0	2	1	0	0	2	0	10	1	0	0	5	0	1	0	0	1	1	2	0	3	0	0	2	1	0	0	0	0	3	0	2	1	0	0	2	2	1	0	0	2	0	0	0	0	1	7	0	1	0	0	1	0	0	0	0	0	2	0	4	9	4	0	1	2	0	5	1	1	1	0	0	2	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	3	1	5	0	0	1	0	7	1	5	1	1	2	0	1	3	0	0	0	0	0	5	1	2	0	0	5	1	0	2	1	0	0	1	0	2	0	0	0	0	1	4	3	0	0	0	0	1	1	11	0	5	0	1	3	0	0	4	0	0	2	0	0	1	1	3	0	0	2	3	5	1	1	0	0	2	0	0	5	1	11	1	4	2	5	0	1	1
Instapundit	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	2	0	1	0	0	2	3	0	3	0	0	0	0	0	0	2	0	0	2	2	2	0	1	0	2	0	0	1	0	0	1	0	2	0	2	5	0	0	2	0	0	0	0	2	0	4	0	0	1	0	0	0	2	3	0	0	2	0	0	4	1	0	0	1	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	2	0	0	3	0	0	5	1	2	2	0	0	2	1	2	3	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	3	0	2	0	0	2	0	0	1	0	0	2	0	2	0	2	0	0	1	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	5	2	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	2	0	3	1	0	2	0	1	5	0	0	1	2	0	2	2	4	0	2	3	0	0	0	0	2	3	2	0	0	0	1	0	0	2	1	0	3	0	2	0	1	2	0	0	1	0	0	0	0	0	3	1	0	2	2	2	0	2	0	1	4	0	0	0	1	2	0	2	1	0	0	1	2	1	0	2	0	3	2	0	6	8	0	0	0	0	2	0	0	2	3	1	3	3	0	2	1	0	3	0	1	0	2	0	0	0	2	0	1	1	4	2	0	0	1	0	7	0	1	2	1	0	0	0	2	1	0	5	0	0	0	0	0	0	0	0	0	2	2	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	4	0	0	0	0	1	2	0	0	0	1	0	0	0	2	4	0	0	2	4	0	0	0	4	0	0	0	1	3	2	0	0	2	0	10	3	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	5	1	9	2	1	3	0	3	0	0	2	0	0	0	3	1	2	3	2	3	0	2	0	0	0	0	0	1	0	0	0	0	2	0	5	1	2	2	0	0	0	0	2	0	0	1	0	2	1	2	4	0	0	0	0	0	1	0	0	0	0	1	1	4	2	0	0	0	0	1	0	2	2	0	0	0	3	1	1	1	3
Lifehack - Feed	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	5	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	10	0	0	2	3	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	2	0	4	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
BuzzMachine	1	0	1	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	2	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	2	0	0	2	0	2	0	2	0	0	0	0	1	0	2	0	0	6	0	1	0	0	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	1	0	0	0	5	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	16	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	8	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	0	3	15	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	3	0	0	1	0	0	0	1	0	0	0	0	1	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	4	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	4	0	0	0	1	1	0	0	0	3	0	0	0	3	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	4	0	0	0	0	9	1	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	1	4	0	2	0	0	0	0	0	2	0	2	0	0	0	1	1	1	0
Techdirt.	4	5	5	4	3	0	3	2	12	0	5	13	4	18	2	2	7	4	8	9	4	0	5	4	25	3	11	35	6	7	33	9	4	1	14	2	2	7	3	1	4	3	3	17	25	11	30	7	5	4	2	5	0	11	21	9	1	19	0	1	20	3	9	14	7	5	6	14	4	0	7	7	0	10	7	3	1	7	2	1	2	34	3	3	66	9	4	12	4	4	3	35	5	3	3	6	14	2	4	8	5	0	1	2	0	7	2	3	5	2	15	6	7	8	1	5	1	4	9	3	5	8	28	2	6	3	17	34	8	6	26	0	7	3	23	2	1	17	4	4	19	3	4	1	13	33	2	16	27	25	9	0	8	2	13	5	1	3	0	5	5	4	21	2	8	0	4	4	4	0	3	0	0	4	6	23	20	2	10	2	5	0	4	7	10	3	1	18	8	31	3	36	74	1	15	4	2	15	3	4	9	7	2	8	14	0	0	9	0	4	7	2	17	0	3	1	12	14	6	4	4	8	18	8	4	19	3	8	18	0	1	7	1	22	5	4	2	19	1	6	31	3	1	2	2	3	10	3	6	3	3	14	5	1	4	3	4	1	24	3	12	2	2	27	2	1	1	2	6	35	13	45	0	5	10	9	2	6	4	5	11	5	1	3	0	18	14	8	3	4	10	6	18	5	2	10	10	3	21	18	0	7	8	15	17	2	4	16	10	9	4	0	8	1	1	2	4	10	17	16	1	3	0	1	1	5	0	0	21	10	13	6	7	6	49	2	1	9	28	2	3	6	2	1	6	7	26	10	6	9	9	4	0	16	4	2	3	36	3	19	2	18	4	10	2	2	1	2	5	4	11	4	0	1	7	0	5	1	3	15	2	6	14	5	2	11	0	2	19	7	22	3	10	2	1	4	7	10	2	7	25	4	6	3	11	3	0	0	13	9	4	3	4	54	4	5	6	7	7	4	3	7	13	6	2	13	2	9	3	9	0	1	6	2	6	8	31	8	2	3	17	3	5	1	2	4	2	6	1	5	3	15	9	5	2	14	0	3	2	35	1	8	4	12	10	19	6	0	9	15	0	6	5	1	0	5	1	2	2	11	5	24	1	1	1	2	33	3	6	12	6	27	1	1	1	3	3	5	3	11	9	11	2	1	16	0	11	2	10	5	0	34	36	17	1	1	3	0	0	3	32	14	27	4	5	22	20	6	0	22
